"Basin","Region","Site","Reference","Latitude","Longitude","RSL","Age","RSL_err","Age_err"
"North Atlantic","Ireland","Bracky Bridge","Kirby et al. (2023)",54.756,-8.433,-1.33,28,0.21,71.5
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,0,2014.261,0.277354163,6.739
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,0.022085251,1994.71,0.316918938,17.29
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.083483247,1976.386,0.304674599,22.639
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,0.298674474,1946.34,0.366335543,14.685
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,0.103584483,1927.396,0.35106124,21.604
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,0.01729185,1911.448,0.296458515,26.552
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.025765312,1892.646,0.28218608,31.354
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.085119639,1879.254,0.256818444,32.746
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.133249006,1868.671,0.254557233,33.329
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.136776921,1857.923,0.238231537,35.077
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.144174629,1843.808,0.264694945,36.217
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.102213265,1831.225,0.323010796,35.8
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.047152612,1821.9,0.321102163,38.1
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.135525894,1813.393,0.315387807,39.607
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.200044044,1804.735,0.24373469,42.265
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.242467824,1795.418,0.234221369,43.607
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.318523578,1782.244,0.229711517,46.756
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.310973667,1767.549,0.227124923,52.501
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.306611229,1756.828,0.226745489,61.172
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.266235122,1747.036,0.321751148,66.964
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.392025011,1737.151,0.298610528,73.874
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.236155984,1727.432,0.354805975,82.593
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.481129021,1718.006,0.319757831,89.994
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.392825607,1708.842,0.240023259,98.183
"North Atlantic","Ireland","Dungarvan","Alvarez et al (In progress)",52.10367949,-7.591936864,-0.438327188,1699.6,0.21259074,106.4
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,0,2019.197,0.238964051,2.803
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,0.006164767,2013.244,0.206146065,5.756
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.012344036,2006.909,0.271021126,7.116
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.031812099,2001.887,0.279893916,8.113
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.078257173,1997.895,0.283504555,9.105
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.078279257,1994,0.279672687,10
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.133151418,1989.951,0.231597457,10.049
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.137482049,1984.746,0.285972539,10.254
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.192928566,1978.997,0.263253383,10.003
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.187809638,1974.384,0.263226786,11.616
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.206179779,1970.032,0.231414041,12.968
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.27532827,1965.728,0.267986072,14.297
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.27280309,1960.668,0.276300539,16.332
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.269390402,1948.584,0.259836253,18.441
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.328219738,1935.043,0.259293651,22.957
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.329417742,1922.954,0.230943721,28.046
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.320626004,1910.242,0.259252638,32.758
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.310324791,1894.282,0.249053715,37.718
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.387749292,1877.932,0.253583251,44.093
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.387986681,1862.353,0.249065142,54.647
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.426623795,1853.406,0.255709173,58.594
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.414762203,1848.163,0.249521389,58.837
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.460792074,1843.5,0.253114643,60.5
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.460782789,1838.929,0.211549375,61.071
"North Atlantic","Ireland","Cromane","Alvarez et al (In progress)",52.134535,-9.899419,-0.510401175,1834.555,0.215919408,63.47
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,0,2019,-0.181833835,2
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.154945853,2000,-0.226726767,13
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.245005682,1993,-0.25402278,14
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.264226123,1986,-0.296456589,13
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.188982122,1979,-0.273976255,12
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.11107161,1975,-0.402135907,11
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.273438739,1969,-0.314582973,11
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.364683802,1963,-0.275997208,10
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.231751472,1950,-0.268142976,9
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.316273954,1943,-0.261003857,10
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.352686831,1894.975,-0.262945964,34.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.203466369,1880,-0.121916748,23
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.328549279,1851,-0.246765818,24
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.501208217,1831.975,-0.246775266,27.025
"North Atlantic","Ireland","Timoleague","Roseby et al (In progress)",51.641,-8.764,-0.523013046,1795,-0.270028344,45
