Basin,Region,Site,Reference,Longitude,Latitude,Age,RSL,Age_err,RSL_err
North Atlantic,Ireland,Cromane,Alvarez et al (In progress),-9.899419,52.134535,1834.555,-0.510401175,63.47,0.215919408
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,2019,0,2,-0.181833835
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,2000,-0.154945853,13,-0.226726767
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1993,-0.245005682,14,-0.25402278
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1986,-0.264226123,13,-0.296456589
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1979,-0.188982122,12,-0.273976255
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1975,-0.11107161,11,-0.402135907
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1969,-0.273438739,11,-0.314582973
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1963,-0.364683802,10,-0.275997208
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1950,-0.231751472,9,-0.268142976
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1943,-0.316273954,10,-0.261003857
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1894.975,-0.352686831,34.025,-0.262945964
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1880,-0.203466369,23,-0.121916748
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1851,-0.328549279,24,-0.246765818
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1831.975,-0.501208217,27.025,-0.246775266
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1795,-0.523013046,45,-0.270028344
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1703,-0.39982692,84,-0.303157849
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1662,-0.49576629,92,-0.244911958
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1634,-0.600647533,89.5,-0.278690729
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1608,-0.28642109,84,-0.271446413
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1583,-0.616635787,79,-0.279191286
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1551,-0.403635355,74,-0.25014433
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1525.95,-0.744422091,72.05,-0.300383553
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1506,-0.39343954,76,-0.218865163
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1494.975,-0.925442605,72.025,-0.256881742
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1482,-1.006998631,70,-0.226574026
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1468.975,-0.94539382,68.025,-0.258894364
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1461,-0.660302442,63,-0.402937621
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1453,-0.799340192,56,-0.259579929
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1444,-0.897868327,49.5,-0.308326813
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1431,-0.986492879,45,-0.254400227
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1408,-0.839994226,46.5,-0.267723514
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1360,-1.08749942,68.5,-0.253350277
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1325.975,-1.02760625,82.025,-0.306951178
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1305.975,-0.789763818,82.025,-0.374010605
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1285.975,-0.799244381,80.025,-0.323012997
North Atlantic,Ireland,Timoleague,Roseby et al (In progress),-8.764,51.641,1266,-0.673898123,79.5,-0.062666331
